,dna_sid,experiment_id,sample_id,sample_type,description,sample_replicate,sample_diameter_mm,digestion_volume_ul,digested_sample_volume_ul,buffer_volume_ul,dilution_factor,assay_volume_ul,std_conc_ng_per_well,biopsy_region,culture_duration_days,master_well_plate_location,abs,sheet_name,location,ng_per_well,ug_per_ml,ug_per_biopsy,ug_per_cm2,r_squared,data_check,avg_ug_per_cm2,avg_ug_per_cm2_std
0,DNA288-1,DNA288,STD 1,standard,,,,,,,,20,80,,,,11316721,Plate1,A1,,,,,0.9953028818179048,,,
1,DNA288-1,DNA288,STD 1,standard,,,,,,,,20,80,,,,10590487,Plate1,A2,,,,,0.9953028818179048,,,
2,DNA288-1,DNA288,STD 1,standard,,,,,,,,20,80,,,,10496463,Plate2,A1,,,,,0.9948614745010336,,,
3,DNA288-1,DNA288,STD 1,standard,,,,,,,,20,80,,,,10023282,Plate2,A2,,,,,0.9948614745010336,,,
4,DNA288-1,DNA288,STD 1,standard,,,,,,,,20,80,,,,10954548,Plate3,A1,,,,,0.9948561918820031,,,
5,DNA288-1,DNA288,STD 1,standard,,,,,,,,20,80,,,,10433220,Plate3,A2,,,,,0.9948561918820031,,,
6,DNA288-10,DNA288,"2 EXP177B
ODFC-SV40 - D
",sample,,2,8,500,10,390,40,20,,,,,21636300,Plate1,B3,158.3331211308607,316.6662422617214,158.3331211308607,314.99373603930377,,,317.8147012402506,5.919800555163904
7,DNA288-10,DNA288,"2 EXP177B
ODFC-SV40 - D
",sample,,2,8,500,10,390,40,20,,,,,22281470,Plate1,B4,163.17048640385184,326.3409728077037,163.17048640385184,324.617368473524,,,317.8147012402506,5.919800555163904
8,DNA288-10,DNA288,"2 EXP177B
ODFC-SV40 - D
",sample,,2,8,500,10,390,40,20,,,,,21558484,Plate1,B5,157.7496711625065,315.499342325013,157.7496711625065,313.83299920792405,,,317.8147012402506,5.919800555163904
9,DNA288-11,DNA288,"3 EXP177B
ODFC-SV40 - E
",sample,,3,8,500,10,390,40,20,,,,,27655236,Plate1,C3,203.46198947061026,406.9239789412205,203.46198947061026,404.7747669444848,,,396.66389906371387,8.597960209782235
10,DNA288-11,DNA288,"3 EXP177B
ODFC-SV40 - E
",sample,,3,8,500,10,390,40,20,,,,,27172014,Plate1,C4,199.83888033356837,399.67776066713674,199.83888033356837,397.56682033796443,,,396.66389906371387,8.597960209782235
11,DNA288-11,DNA288,"3 EXP177B
ODFC-SV40 - E
",sample,,3,8,500,10,390,40,20,,,,,26507196,Plate1,C5,194.85419799238787,389.70839598477573,194.85419799238787,387.65010990869246,,,396.66389906371387,8.597960209782235
12,DNA288-12,DNA288,"1 EXP163B
F4-ST_P20 - A
",sample,,1,8,500,10,390,40,20,,,,,26823476,Plate1,D3,197.22560690560707,394.4512138112141,197.22560690560704,392.36787804158007,,,383.6717789892975,14.360529537100053
13,DNA288-12,DNA288,"1 EXP163B
F4-ST_P20 - A
",sample,,1,8,500,10,390,40,20,,,,,26768718,Plate1,D4,196.8150415544307,393.63008310886147,196.81504155443074,391.55108422780546,,,383.6717789892975,14.360529537100053
14,DNA288-12,DNA288,"1 EXP163B
F4-ST_P20 - A
",sample,,1,8,500,10,390,40,20,,,,,25129270,Plate1,D5,184.52276382596412,369.0455276519282,184.5227638259641,367.09637469850696,,,383.6717789892975,14.360529537100053
15,DNA288-13,DNA288,"2 EXP163B
F4-ST_P20 - B
",sample,,2,8,500,10,390,40,20,,,,,41367008,Plate1,E3,306.2703185993241,612.5406371986483,306.2703185993241,609.305439092651,,,587.2138101184607,20.708979526192987
16,DNA288-13,DNA288,"2 EXP163B
F4-ST_P20 - B
",sample,,2,8,500,10,390,40,20,,,,,39676872,Plate1,E4,293.59799162653843,587.1959832530769,293.59799162653843,584.0946456152061,,,587.2138101184607,20.708979526192987
17,DNA288-13,DNA288,"2 EXP163B
F4-ST_P20 - B
",sample,,2,8,500,10,390,40,20,,,,,38614064,Plate1,E5,285.62925391235893,571.2585078247179,285.62925391235893,568.2413456475251,,,587.2138101184607,20.708979526192987
18,DNA288-14,DNA288,"3 EXP163B
F4-ST_P20 - C
",sample,,3,8,500,10,390,40,20,,,,,21994858,Plate1,F3,161.0215226646474,322.0430453292947,161.02152266464736,320.34214095327854,,,321.5935796166639,2.0673339886657986
19,DNA288-14,DNA288,"3 EXP163B
F4-ST_P20 - C
",sample,,3,8,500,10,390,40,20,,,,,22002680,Plate1,F4,161.08017057320689,322.16034114641377,161.08017057320689,320.4588172601442,,,321.5935796166639,2.0673339886657986
20,DNA288-14,DNA288,"3 EXP163B
F4-ST_P20 - C
",sample,,3,8,500,10,390,40,20,,,,,22238726,Plate1,F5,162.84999980151645,325.6999996030329,162.84999980151645,323.97978063656893,,,321.5935796166639,2.0673339886657986
21,DNA288-15,DNA288,"4 EXP163B
F7-ST_P20 - A
",sample,,1,8,500,10,390,40,20,,,,,62807272,Plate1,G3,467.0254506069535,934.050901213907,467.0254506069535,929.1176126727057,,,906.6617642818906,29.665205103500302
22,DNA288-15,DNA288,"4 EXP163B
F7-ST_P20 - A
",sample,,1,8,500,10,390,40,20,,,,,62050904,Plate1,G4,461.35434330685933,922.7086866137187,461.35434330685933,917.8353031775242,,,906.6617642818906,29.665205103500302
23,DNA288-15,DNA288,"4 EXP163B
F7-ST_P20 - A
",sample,,1,8,500,10,390,40,20,,,,,59047308,Plate1,G5,438.8339363063864,877.6678726127727,438.83393630638636,873.0323769954417,,,906.6617642818906,29.665205103500302
24,DNA288-16,DNA288,"5 EXP163B
F7-ST_P20 - B
",sample,,2,8,500,10,390,40,20,,,,,49069728,Plate1,H3,364.0238877912803,728.0477755825606,364.0238877912803,724.2025143188963,,,695.1903982116846,26.00286406132881
25,DNA288-16,DNA288,"5 EXP163B
F7-ST_P20 - B
",sample,,2,8,500,10,390,40,20,,,,,46601340,Plate1,H4,345.51637133597694,691.0327426719539,345.51637133597694,687.3829802161948,,,695.1903982116846,26.00286406132881
26,DNA288-16,DNA288,"5 EXP163B
F7-ST_P20 - B
",sample,,2,8,500,10,390,40,20,,,,,45703184,Plate1,H5,338.78216384937866,677.5643276987573,338.78216384937866,673.9857000999627,,,695.1903982116846,26.00286406132881
27,DNA288-17,DNA288,"6 EXP163B
F7-ST_P20 - C
",sample,,3,8,500,10,390,40,20,,,,,25173462,Plate1,A6,184.85410726435094,369.70821452870183,184.85410726435092,367.75556152451105,,,360.7842392017942,26.76448355494655
28,DNA288-17,DNA288,"6 EXP163B
F7-ST_P20 - C
",sample,,3,8,500,10,390,40,20,,,,,26220474,Plate1,A7,192.7044094935386,385.40881898707715,192.70440949353858,383.37324158126785,,,360.7842392017942,26.76448355494655
29,DNA288-17,DNA288,"6 EXP163B
F7-ST_P20 - C
",sample,,3,8,500,10,390,40,20,,,,,22724374,Plate1,A8,166.49129863763343,332.98259727526687,166.49129863763343,331.2239144996037,,,360.7842392017942,26.76448355494655
30,DNA288-18,DNA288,"7 EXP163B
F4-ST_P21 - A
",sample,,1,8,500,10,390,40,20,,,,,24252274,Plate1,B6,177.94721010376355,355.89442020752705,177.94721010376352,354.0147262178253,,,349.8019786461043,10.225544045833946
31,DNA288-18,DNA288,"7 EXP163B
F4-ST_P21 - A
",sample,,1,8,500,10,390,40,20,,,,,24469044,Plate1,B7,179.57251145104613,359.14502290209225,179.57251145104613,357.2481605107496,,,349.8019786461043,10.225544045833946
32,DNA288-18,DNA288,"7 EXP163B
F4-ST_P21 - A
",sample,,1,8,500,10,390,40,20,,,,,23188234,Plate1,B8,169.96923508156243,339.93847016312486,169.96923508156243,338.1430492097381,,,349.8019786461043,10.225544045833946
33,DNA288-19,DNA288,"8 EXP163B
F4-ST_P21 - B
",sample,,2,8,500,10,390,40,20,,,,,27726296,Plate1,C6,203.99478420114448,407.98956840228897,203.99478420114448,405.83472838220774,,,402.3297951947089,15.68314937162365
34,DNA288-19,DNA288,"8 EXP163B
F4-ST_P21 - B
",sample,,2,8,500,10,390,40,20,,,,,28405360,Plate1,C7,209.08628041414022,418.1725608282804,209.0862804141402,415.9639382576069,,,402.3297951947089,15.68314937162365
35,DNA288-19,DNA288,"8 EXP163B
F4-ST_P21 - B
",sample,,2,8,500,10,390,40,20,,,,,26342318,Plate1,C8,193.61797325862742,387.2359465172549,193.61797325862744,385.19071894431204,,,402.3297951947089,15.68314937162365
36,DNA288-2,DNA288,STD 2,standard,,,,,,,,20,70,,,,9557031,Plate1,B1,,,,,0.9953028818179048,,,
37,DNA288-2,DNA288,STD 2,standard,,,,,,,,20,70,,,,9785369,Plate1,B2,,,,,0.9953028818179048,,,
38,DNA288-2,DNA288,STD 2,standard,,,,,,,,20,70,,,,9027719,Plate2,B1,,,,,0.9948614745010336,,,
39,DNA288-2,DNA288,STD 2,standard,,,,,,,,20,70,,,,9541696,Plate2,B2,,,,,0.9948614745010336,,,
40,DNA288-2,DNA288,STD 2,standard,,,,,,,,20,70,,,,9517505,Plate3,B1,,,,,0.9948561918820031,,,
41,DNA288-2,DNA288,STD 2,standard,,,,,,,,20,70,,,,9893645,Plate3,B2,,,,,0.9948561918820031,,,
42,DNA288-20,DNA288,"9 EXP163B
F4-ST_P21 - C
",sample,,3,8,500,10,390,40,20,,,,,35132188,Plate1,D6,259.52279197634005,519.0455839526801,259.52279197634005,516.3041898505523,,,474.6417686093394,40.14228628830037
43,DNA288-20,DNA288,"9 EXP163B
F4-ST_P21 - C
",sample,,3,8,500,10,390,40,20,,,,,32122178,Plate1,D7,236.95429399076096,473.9085879815219,236.95429399076096,471.40558969349746,,,474.6417686093394,40.14228628830037
44,DNA288-20,DNA288,"9 EXP163B
F4-ST_P21 - C
",sample,,3,8,500,10,390,40,20,,,,,29763030,Plate1,D8,219.2658388408834,438.5316776817667,219.26583884088336,436.21552628396853,,,474.6417686093394,40.14228628830037
45,DNA288-21,DNA288,"10 EXP163B
F7-ST_P21 - A
",sample,,1,8,500,10,390,40,20,,,,,21903968,Plate1,E6,160.34004626360243,320.6800925272049,160.34004626360246,318.98638673044394,,,314.9781732318168,17.541804124503653
46,DNA288-21,DNA288,"10 EXP163B
F7-ST_P21 - A
",sample,,1,8,500,10,390,40,20,,,,,22653652,Plate1,E7,165.96103816855322,331.92207633710643,165.96103816855322,330.16899481484944,,,314.9781732318168,17.541804124503653
47,DNA288-21,DNA288,"10 EXP163B
F7-ST_P21 - A
",sample,,1,8,500,10,390,40,20,,,,,20348150,Plate1,E8,148.67481079962468,297.34962159924936,148.67481079962468,295.7791381501571,,,314.9781732318168,17.541804124503653
48,DNA288-22,DNA288,"11 EXP163B
F7-ST_P21 - B
",sample,,2,8,500,10,390,40,20,,,,,22101850,Plate1,F6,161.82372888205964,323.6474577641193,161.82372888205964,321.93807951428124,,,328.24045966649265,11.027298103860472
49,DNA288-22,DNA288,"11 EXP163B
F7-ST_P21 - B
",sample,,2,8,500,10,390,40,20,,,,,23377986,Plate1,F7,171.3919604644547,342.7839209289094,171.3919604644547,340.9734714266083,,,328.24045966649265,11.027298103860472
50,DNA288-22,DNA288,"11 EXP163B
F7-ST_P21 - B
",sample,,2,8,500,10,390,40,20,,,,,22093252,Plate1,F8,161.7592626690969,323.5185253381938,161.7592626690969,321.8098280585883,,,328.24045966649265,11.027298103860472
51,DNA288-23,DNA288,"12 EXP163B
F7-ST_P21 - C
",sample,,3,8,500,10,390,40,20,,,,,23402268,Plate1,G6,171.57402240713458,343.14804481426916,171.57402240713458,341.33567215318845,,,337.02809587079923,12.799672554915347
52,DNA288-23,DNA288,"12 EXP163B
F7-ST_P21 - C
",sample,,3,8,500,10,390,40,20,,,,,23789936,Plate1,G7,174.48068533419246,348.961370668385,174.4806853341925,347.1182943124788,,,337.02809587079923,12.799672554915347
53,DNA288-23,DNA288,"12 EXP163B
F7-ST_P21 - C
",sample,,3,8,500,10,390,40,20,,,,,22148258,Plate1,G8,162.1716874783815,324.343374956763,162.1716874783815,322.6303211467305,,,337.02809587079923,12.799672554915347
54,DNA288-24,DNA288,"13 EXP163B
F4-ST_P22 - A
",sample,,1,8,500,10,390,40,20,,,,,33414556,Plate1,H6,246.64430508361673,493.2886101672334,246.6443050836167,490.68325424403855,,,491.89026183786996,21.477469689151526
55,DNA288-24,DNA288,"13 EXP163B
F4-ST_P22 - A
",sample,,1,8,500,10,390,40,20,,,,,34974080,Plate1,H7,258.3373274498089,516.6746548996178,258.3373274498089,513.9457831098333,,,491.89026183786996,21.477469689151526
56,DNA288-24,DNA288,"13 EXP163B
F4-ST_P22 - A
",sample,,1,8,500,10,390,40,20,,,,,32097786,Plate1,H8,236.7714072884363,473.5428145768726,236.7714072884363,471.0417481597381,,,491.89026183786996,21.477469689151526
57,DNA288-25,DNA288,"14 EXP163B
F4-ST_P22 - B
",sample,,2,8,500,10,390,40,20,,,,,16834546,Plate1,A9,122.33045819078856,244.66091638157712,122.33045819078856,243.36871389700542,,,248.07074022525936,4.074448184596429
58,DNA288-25,DNA288,"14 EXP163B
F4-ST_P22 - B
",sample,,2,8,500,10,390,40,20,,,,,17298060,Plate1,A10,125.80580039074397,251.61160078148794,125.80580039074397,250.28268752274,,,248.07074022525936,4.074448184596429
59,DNA288-25,DNA288,"14 EXP163B
F4-ST_P22 - B
",sample,,2,8,500,10,390,40,20,,,,,17316706,Plate1,A11,125.94560464835078,251.89120929670156,125.94560464835078,250.56081925603272,,,248.07074022525936,4.074448184596429
60,DNA288-26,DNA288,"15 EXP163B
F4-ST_P22 - C
",sample,,3,8,500,10,390,40,20,,,,,34464908,Plate1,B9,254.5196500147462,509.0393000294924,254.5196500147462,506.3507551733256,,,505.28104833538714,6.5968864531148155
61,DNA288-26,DNA288,"15 EXP163B
F4-ST_P22 - C
",sample,,3,8,500,10,390,40,20,,,,,34795212,Plate1,B10,256.9962082848611,513.9924165697222,256.9962082848611,511.27771130512434,,,505.28104833538714,6.5968864531148155
62,DNA288-26,DNA288,"15 EXP163B
F4-ST_P22 - C
",sample,,3,8,500,10,390,40,20,,,,,33919464,Plate1,B11,250.43001183572144,500.8600236714429,250.43001183572144,498.2146785277115,,,505.28104833538714,6.5968864531148155
63,DNA288-27,DNA288,"16 EXP163B
F7-ST_P22 - A
",sample,,1,8,500,10,390,40,20,,,,,26462652,Plate1,C9,194.5202153231377,389.0404306462754,194.5202153231377,386.98567249971506,,,385.0909976449641,5.58316293895251
64,DNA288-27,DNA288,"16 EXP163B
F7-ST_P22 - A
",sample,,1,8,500,10,390,40,20,,,,,26629890,Plate1,C10,195.7741349001864,391.5482698003728,195.7741349001864,389.48026623630255,,,385.0909976449641,5.58316293895251
65,DNA288-27,DNA288,"16 EXP163B
F7-ST_P22 - A
",sample,,1,8,500,10,390,40,20,,,,,25914356,Plate1,C11,190.40919337586809,380.81838675173617,190.40919337586809,378.8070541988747,,,385.0909976449641,5.58316293895251
66,DNA288-28,DNA288,"17 EXP163B
F7-ST_P22 - B
",sample,,2,8,500,10,390,40,20,,,,,26207862,Plate1,D9,192.60984705135598,385.21969410271197,192.60984705135598,383.1851155799653,,,407.15404674137966,25.341085456134213
67,DNA288-28,DNA288,"17 EXP163B
F7-ST_P22 - B
",sample,,2,8,500,10,390,40,20,,,,,27643704,Plate1,D10,203.3755246685765,406.751049337153,203.3755246685765,404.6027506863956,,,407.15404674137966,25.341085456134213
68,DNA288-28,DNA288,"17 EXP163B
F7-ST_P22 - B
",sample,,2,8,500,10,390,40,20,,,,,29592664,Plate1,D11,217.98846609866285,435.97693219732577,217.98846609866288,433.67427395777804,,,407.15404674137966,25.341085456134213
69,DNA288-29,DNA288,"18 EXP163B
F7-ST_P22 - C
",sample,,3,8,500,10,390,40,20,,,,,21915138,Plate1,E9,160.42379685662337,320.8475937132467,160.42379685662334,319.1530032412708,,,327.58138222763387,9.008099121497667
70,DNA288-29,DNA288,"18 EXP163B
F7-ST_P22 - C
",sample,,3,8,500,10,390,40,20,,,,,23116602,Plate1,E10,169.43215160087533,338.86430320175066,169.43215160087533,337.0745555746837,,,327.58138222763387,9.008099121497667
71,DNA288-29,DNA288,"18 EXP163B
F7-ST_P22 - C
",sample,,3,8,500,10,390,40,20,,,,,22408794,Plate1,E11,164.12513819488106,328.2502763897622,164.1251381948811,326.51658786694696,,,327.58138222763387,9.008099121497667
72,DNA288-3,DNA288,STD 3,standard,,,,,,,,20,60,,,,8568551,Plate1,C1,,,,,0.9953028818179048,,,
73,DNA288-3,DNA288,STD 3,standard,,,,,,,,20,60,,,,8766098,Plate1,C2,,,,,0.9953028818179048,,,
74,DNA288-3,DNA288,STD 3,standard,,,,,,,,20,60,,,,8225726,Plate2,C1,,,,,0.9948614745010336,,,
75,DNA288-3,DNA288,STD 3,standard,,,,,,,,20,60,,,,8367034,Plate2,C2,,,,,0.9948614745010336,,,
76,DNA288-3,DNA288,STD 3,standard,,,,,,,,20,60,,,,8680572,Plate3,C1,,,,,0.9948561918820031,,,
77,DNA288-3,DNA288,STD 3,standard,,,,,,,,20,60,,,,8659064,Plate3,C2,,,,,0.9948561918820031,,,
78,DNA288-30,DNA288,"19 EXP163B
F4-ST_P23 - A
",sample,,1,8,500,10,390,40,20,,,,,32854890,Plate1,F9,242.44803298033563,484.8960659606713,242.44803298033565,482.33503614659105,,,482.2389146787513,0.7235970569799001
79,DNA288-30,DNA288,"19 EXP163B
F4-ST_P23 - A
",sample,,1,8,500,10,390,40,20,,,,,32797036,Plate1,F10,242.01425439406592,484.02850878813183,242.01425439406592,481.472061068938,,,482.2389146787513,0.7235970569799001
80,DNA288-30,DNA288,"19 EXP163B
F4-ST_P23 - A
",sample,,1,8,500,10,390,40,20,,,,,32893412,Plate1,F11,242.736863807941,485.473727615882,242.736863807941,482.90964682072496,,,482.2389146787513,0.7235970569799001
81,DNA288-31,DNA288,"20 EXP163B
F4-ST_P23 - B
",sample,,2,8,500,10,390,40,20,,,,,32291616,Plate1,G9,238.22470876070543,476.44941752141085,238.22470876070543,473.93299957366764,,,484.60379514961346,9.526515122168432
82,DNA288-31,DNA288,"20 EXP163B
F4-ST_P23 - B
",sample,,2,8,500,10,390,40,20,,,,,33209536,Plate1,G10,245.10710306202762,490.2142061240552,245.1071030620276,487.62508799070406,,,484.60379514961346,9.526515122168432
